"Emissiebronnen";"Emissies naar lucht";"Perioden";"Emissies naar lucht (mln kg)"
"Wegverkeer; totaal";"Zwaveldioxide (SO2)";"2015";"     0.2"
"Wegverkeer; totaal";"Zwaveldioxide (SO2)";"2016";"     0.2"
"Wegverkeer; totaal";"Zwaveldioxide (SO2)";"2017";"     0.2"
"Wegverkeer; totaal";"Zwaveldioxide (SO2)";"2018";"     0.2"
"Wegverkeer; totaal";"Zwaveldioxide (SO2)";"2019";"     0.2"
"Wegverkeer; totaal";"Zwaveldioxide (SO2)";"2020";"     0.2"
"Wegverkeer; totaal";"Zwaveldioxide (SO2)";"2021";"     0.2"
"Wegverkeer; totaal";"Zwaveldioxide (SO2)";"2022";"     0.2"
"Wegverkeer; totaal";"Zwaveldioxide (SO2)";"2023*";"     0.2"
"Wegverkeer; totaal";"NMVOS";"1990";"   175.5"
"Wegverkeer; totaal";"NMVOS";"1995";"   107.8"
"Wegverkeer; totaal";"NMVOS";"2000";"    62.6"
"Wegverkeer; totaal";"NMVOS";"2001";"    55.7"
"Wegverkeer; totaal";"NMVOS";"2002";"    50.2"
"Wegverkeer; totaal";"NMVOS";"2003";"    45.5"
"Wegverkeer; totaal";"NMVOS";"2004";"    41.5"
"Wegverkeer; totaal";"NMVOS";"2005";"    37.0"
"Wegverkeer; totaal";"NMVOS";"2006";"    33.7"
"Wegverkeer; totaal";"NMVOS";"2007";"    31.1"
"Wegverkeer; totaal";"NMVOS";"2008";"    28.4"
"Wegverkeer; totaal";"NMVOS";"2009";"    25.7"
"Wegverkeer; totaal";"NMVOS";"2010";"    24.6"
"Wegverkeer; totaal";"NMVOS";"2011";"    24.6"
"Wegverkeer; totaal";"NMVOS";"2012";"    24.2"
"Wegverkeer; totaal";"NMVOS";"2013";"    24.0"
"Wegverkeer; totaal";"NMVOS";"2014";"    23.8"
"Wegverkeer; totaal";"NMVOS";"2015";"    23.7"
"Wegverkeer; totaal";"NMVOS";"2016";"    24.0"
"Wegverkeer; totaal";"NMVOS";"2017";"    24.0"
"Wegverkeer; totaal";"NMVOS";"2018";"    23.9"
"Wegverkeer; totaal";"NMVOS";"2019";"    23.5"
"Wegverkeer; totaal";"NMVOS";"2020";"    21.3"
"Wegverkeer; totaal";"NMVOS";"2021";"    21.6"
"Wegverkeer; totaal";"NMVOS";"2022";"    21.4"
"Wegverkeer; totaal";"NMVOS";"2023*";"    21.1"
"Wegverkeer; totaal";"PM10 (fijn stof)";"1990";"    17.2"
"Wegverkeer; totaal";"PM10 (fijn stof)";"1995";"    13.2"
"Wegverkeer; totaal";"PM10 (fijn stof)";"2000";"    10.5"
"Wegverkeer; totaal";"PM10 (fijn stof)";"2001";"    10.0"
"Wegverkeer; totaal";"PM10 (fijn stof)";"2002";"     9.5"
"Wegverkeer; totaal";"PM10 (fijn stof)";"2003";"     9.1"
"Wegverkeer; totaal";"PM10 (fijn stof)";"2004";"     8.8"
"Wegverkeer; totaal";"PM10 (fijn stof)";"2005";"     8.1"
"Wegverkeer; totaal";"PM10 (fijn stof)";"2006";"     7.5"
"Wegverkeer; totaal";"PM10 (fijn stof)";"2007";"     7.0"
"Wegverkeer; totaal";"PM10 (fijn stof)";"2008";"     6.3"
"Wegverkeer; totaal";"PM10 (fijn stof)";"2009";"     5.6"
"Wegverkeer; totaal";"PM10 (fijn stof)";"2010";"     5.2"
"Wegverkeer; totaal";"PM10 (fijn stof)";"2011";"     4.9"
"Wegverkeer; totaal";"PM10 (fijn stof)";"2012";"     4.6"
"Wegverkeer; totaal";"PM10 (fijn stof)";"2013";"     4.3"
"Wegverkeer; totaal";"PM10 (fijn stof)";"2014";"     4.1"
"Wegverkeer; totaal";"PM10 (fijn stof)";"2015";"     4.1"
"Wegverkeer; totaal";"PM10 (fijn stof)";"2016";"     4.1"
"Wegverkeer; totaal";"PM10 (fijn stof)";"2017";"     4.0"
"Wegverkeer; totaal";"PM10 (fijn stof)";"2018";"     4.0"
"Wegverkeer; totaal";"PM10 (fijn stof)";"2019";"     3.9"
"Wegverkeer; totaal";"PM10 (fijn stof)";"2020";"     3.4"
"Wegverkeer; totaal";"PM10 (fijn stof)";"2021";"     3.5"
"Wegverkeer; totaal";"PM10 (fijn stof)";"2022";"     3.6"
"Wegverkeer; totaal";"PM10 (fijn stof)";"2023*";"     3.6"
"Wegverkeer; totaal";"PM2.5 (fijn stof)";"1990";"    15.5"
"Wegverkeer; totaal";"PM2.5 (fijn stof)";"1995";"    11.4"
"Wegverkeer; totaal";"PM2.5 (fijn stof)";"2000";"     8.6"
"Wegverkeer; totaal";"PM2.5 (fijn stof)";"2001";"     8.1"
"Wegverkeer; totaal";"PM2.5 (fijn stof)";"2002";"     7.5"
"Wegverkeer; totaal";"PM2.5 (fijn stof)";"2003";"     7.0"
"Wegverkeer; totaal";"PM2.5 (fijn stof)";"2004";"     6.7"
"Wegverkeer; totaal";"PM2.5 (fijn stof)";"2005";"     6.1"
"Wegverkeer; totaal";"PM2.5 (fijn stof)";"2006";"     5.4"
"Wegverkeer; totaal";"PM2.5 (fijn stof)";"2007";"     4.9"
"Wegverkeer; totaal";"PM2.5 (fijn stof)";"2008";"     4.2"
"Wegverkeer; totaal";"PM2.5 (fijn stof)";"2009";"     3.4"
"Wegverkeer; totaal";"PM2.5 (fijn stof)";"2010";"     3.1"
"Wegverkeer; totaal";"PM2.5 (fijn stof)";"2011";"     2.7"
"Wegverkeer; totaal";"PM2.5 (fijn stof)";"2012";"     2.4"
"Wegverkeer; totaal";"PM2.5 (fijn stof)";"2013";"     2.2"
"Wegverkeer; totaal";"PM2.5 (fijn stof)";"2014";"     2.0"
"Wegverkeer; totaal";"PM2.5 (fijn stof)";"2015";"     1.9"
"Wegverkeer; totaal";"PM2.5 (fijn stof)";"2016";"     1.8"
"Wegverkeer; totaal";"PM2.5 (fijn stof)";"2017";"     1.8"
"Wegverkeer; totaal";"PM2.5 (fijn stof)";"2018";"     1.7"
"Wegverkeer; totaal";"PM2.5 (fijn stof)";"2019";"     1.6"
"Wegverkeer; totaal";"PM2.5 (fijn stof)";"2020";"     1.3"
"Wegverkeer; totaal";"PM2.5 (fijn stof)";"2021";"     1.3"
"Wegverkeer; totaal";"PM2.5 (fijn stof)";"2022";"     1.2"
"Wegverkeer; totaal";"PM2.5 (fijn stof)";"2023*";"     1.2"
"Wegverkeer; totaal";"Koolmonoxide (CO)";"1990";"   698.4"
"Wegverkeer; totaal";"Koolmonoxide (CO)";"1995";"   481.7"
"Wegverkeer; totaal";"Koolmonoxide (CO)";"2000";"   387.5"
"Wegverkeer; totaal";"Koolmonoxide (CO)";"2001";"   384.0"
"Wegverkeer; totaal";"Koolmonoxide (CO)";"2002";"   386.1"
"Wegverkeer; totaal";"Koolmonoxide (CO)";"2003";"   386.4"
"Wegverkeer; totaal";"Koolmonoxide (CO)";"2004";"   385.7"
"Wegverkeer; totaal";"Koolmonoxide (CO)";"2005";"   360.1"
"Wegverkeer; totaal";"Koolmonoxide (CO)";"2006";"   342.9"
"Wegverkeer; totaal";"Koolmonoxide (CO)";"2007";"   330.3"
"Wegverkeer; totaal";"Koolmonoxide (CO)";"2008";"   311.5"
"Wegverkeer; totaal";"Koolmonoxide (CO)";"2009";"   299.0"
"Wegverkeer; totaal";"Koolmonoxide (CO)";"2010";"   285.2"
"Wegverkeer; totaal";"Koolmonoxide (CO)";"2011";"   269.9"
"Wegverkeer; totaal";"Koolmonoxide (CO)";"2012";"   256.4"
"Wegverkeer; totaal";"Koolmonoxide (CO)";"2013";"   246.5"
"Wegverkeer; totaal";"Koolmonoxide (CO)";"2014";"   241.0"
"Wegverkeer; totaal";"Koolmonoxide (CO)";"2015";"   233.8"
"Wegverkeer; totaal";"Koolmonoxide (CO)";"2016";"   232.5"
"Wegverkeer; totaal";"Koolmonoxide (CO)";"2017";"   228.9"
"Wegverkeer; totaal";"Koolmonoxide (CO)";"2018";"   229.8"
"Wegverkeer; totaal";"Koolmonoxide (CO)";"2019";"   213.8"
"Wegverkeer; totaal";"Koolmonoxide (CO)";"2020";"   181.3"
"Wegverkeer; totaal";"Koolmonoxide (CO)";"2021";"   176.2"
"Wegverkeer; totaal";"Koolmonoxide (CO)";"2022";"   166.8"
"Wegverkeer; totaal";"Koolmonoxide (CO)";"2023*";"   160.0"
"Wegverkeer; personenauto's";"Kooldioxide (CO2)";"1990";" 15600.0"
"Wegverkeer; personenauto's";"Kooldioxide (CO2)";"1995";" 16200.0"
"Wegverkeer; personenauto's";"Kooldioxide (CO2)";"2000";" 17800.0"
"Wegverkeer; personenauto's";"Kooldioxide (CO2)";"2001";" 18000.0"
"Wegverkeer; personenauto's";"Kooldioxide (CO2)";"2002";" 18400.0"
"Wegverkeer; personenauto's";"Kooldioxide (CO2)";"2003";" 18600.0"
"Wegverkeer; personenauto's";"Kooldioxide (CO2)";"2004";" 19100.0"
"Wegverkeer; personenauto's";"Kooldioxide (CO2)";"2005";" 18500.0"
"Wegverkeer; personenauto's";"Kooldioxide (CO2)";"2006";" 18400.0"
"Wegverkeer; personenauto's";"Kooldioxide (CO2)";"2007";" 18400.0"
"Wegverkeer; personenauto's";"Kooldioxide (CO2)";"2008";" 17900.0"
"Wegverkeer; personenauto's";"Kooldioxide (CO2)";"2009";" 17600.0"
"Wegverkeer; personenauto's";"Kooldioxide (CO2)";"2010";" 17500.0"
"Wegverkeer; personenauto's";"Kooldioxide (CO2)";"2011";" 17200.0"
"Wegverkeer; personenauto's";"Kooldioxide (CO2)";"2012";" 17000.0"
"Wegverkeer; personenauto's";"Kooldioxide (CO2)";"2013";" 16900.0"
"Wegverkeer; personenauto's";"Kooldioxide (CO2)";"2014";" 16800.0"
"Wegverkeer; personenauto's";"Kooldioxide (CO2)";"2015";" 16900.0"
"Wegverkeer; personenauto's";"Kooldioxide (CO2)";"2016";" 17300.0"
"Wegverkeer; personenauto's";"Kooldioxide (CO2)";"2017";" 17400.0"
"Wegverkeer; personenauto's";"Kooldioxide (CO2)";"2018";" 17500.0"
"Wegverkeer; personenauto's";"Kooldioxide (CO2)";"2019";" 17300.0"
"Wegverkeer; personenauto's";"Kooldioxide (CO2)";"2020";" 14400.0"
"Wegverkeer; personenauto's";"Kooldioxide (CO2)";"2021";" 14900.0"
"Wegverkeer; personenauto's";"Kooldioxide (CO2)";"2022";" 15400.0"
"Wegverkeer; personenauto's";"Kooldioxide (CO2)";"2023*";" 15600.0"
"Wegverkeer; personenauto's";"Methaan (CH4)";"1990";"     5.2"
"Wegverkeer; personenauto's";"Methaan (CH4)";"1995";"     3.2"
"Wegverkeer; personenauto's";"Methaan (CH4)";"2000";"     2.2"
"Wegverkeer; personenauto's";"Methaan (CH4)";"2001";"     2.1"
"Wegverkeer; personenauto's";"Methaan (CH4)";"2002";"     2.1"
"Wegverkeer; personenauto's";"Methaan (CH4)";"2003";"     2.1"
"Wegverkeer; personenauto's";"Methaan (CH4)";"2004";"     2.1"
"Wegverkeer; personenauto's";"Methaan (CH4)";"2005";"     1.8"
"Wegverkeer; personenauto's";"Methaan (CH4)";"2006";"     1.7"
"Wegverkeer; personenauto's";"Methaan (CH4)";"2007";"     1.5"
"Wegverkeer; personenauto's";"Methaan (CH4)";"2008";"     1.3"
"Wegverkeer; personenauto's";"Methaan (CH4)";"2009";"     1.1"
"Wegverkeer; personenauto's";"Methaan (CH4)";"2010";"     1.2"
"Wegverkeer; personenauto's";"Methaan (CH4)";"2011";"     1.3"
"Wegverkeer; personenauto's";"Methaan (CH4)";"2012";"     1.4"
"Wegverkeer; personenauto's";"Methaan (CH4)";"2013";"     1.4"
"Wegverkeer; personenauto's";"Methaan (CH4)";"2014";"     1.5"
"Wegverkeer; personenauto's";"Methaan (CH4)";"2015";"     1.6"
"Wegverkeer; personenauto's";"Methaan (CH4)";"2016";"     1.6"
"Wegverkeer; personenauto's";"Methaan (CH4)";"2017";"     1.6"
"Wegverkeer; personenauto's";"Methaan (CH4)";"2018";"     1.6"
"Wegverkeer; personenauto's";"Methaan (CH4)";"2019";"     1.6"
"Wegverkeer; personenauto's";"Methaan (CH4)";"2020";"     1.3"
"Wegverkeer; personenauto's";"Methaan (CH4)";"2021";"     1.4"
"Wegverkeer; personenauto's";"Methaan (CH4)";"2022";"     1.4"
"Wegverkeer; personenauto's";"Methaan (CH4)";"2023*";"     1.4"
"Wegverkeer; personenauto's";"Distikstofoxide (N20)";"1990";"     0.2"
"Wegverkeer; personenauto's";"Distikstofoxide (N20)";"1995";"     0.6"
"Wegverkeer; personenauto's";"Distikstofoxide (N20)";"2000";"     0.7"
"Wegverkeer; personenauto's";"Distikstofoxide (N20)";"2001";"     0.7"
"Wegverkeer; personenauto's";"Distikstofoxide (N20)";"2002";"     0.7"
"Wegverkeer; personenauto's";"Distikstofoxide (N20)";"2003";"     0.7"
"Wegverkeer; personenauto's";"Distikstofoxide (N20)";"2004";"     0.6"
"Wegverkeer; personenauto's";"Distikstofoxide (N20)";"2005";"     0.6"
"Wegverkeer; personenauto's";"Distikstofoxide (N20)";"2006";"     0.6"
"Wegverkeer; personenauto's";"Distikstofoxide (N20)";"2007";"     0.6"
"Wegverkeer; personenauto's";"Distikstofoxide (N20)";"2008";"     0.6"
"Wegverkeer; personenauto's";"Distikstofoxide (N20)";"2009";"     0.6"
"Wegverkeer; personenauto's";"Distikstofoxide (N20)";"2010";"     0.6"
"Wegverkeer; personenauto's";"Distikstofoxide (N20)";"2011";"     0.7"
"Wegverkeer; personenauto's";"Distikstofoxide (N20)";"2012";"     0.7"
"Wegverkeer; personenauto's";"Distikstofoxide (N20)";"2013";"     0.7"
"Wegverkeer; personenauto's";"Distikstofoxide (N20)";"2014";"     0.7"
"Wegverkeer; personenauto's";"Distikstofoxide (N20)";"2015";"     0.7"
"Wegverkeer; personenauto's";"Distikstofoxide (N20)";"2016";"     0.7"
"Wegverkeer; personenauto's";"Distikstofoxide (N20)";"2017";"     0.7"
"Wegverkeer; personenauto's";"Distikstofoxide (N20)";"2018";"     0.7"
"Wegverkeer; personenauto's";"Distikstofoxide (N20)";"2019";"     0.7"
"Wegverkeer; personenauto's";"Distikstofoxide (N20)";"2020";"     0.7"
"Wegverkeer; personenauto's";"Distikstofoxide (N20)";"2021";"     0.7"
"Wegverkeer; personenauto's";"Distikstofoxide (N20)";"2022";"     0.7"
"Wegverkeer; personenauto's";"Distikstofoxide (N20)";"2023*";"     0.7"
"Wegverkeer; personenauto's";"Ammoniak (NH3)";"1990";"     0.9"
"Wegverkeer; personenauto's";"Ammoniak (NH3)";"1995";"     2.1"
"Wegverkeer; personenauto's";"Ammoniak (NH3)";"2000";"     4.3"
"Wegverkeer; personenauto's";"Ammoniak (NH3)";"2001";"     4.7"
"Wegverkeer; personenauto's";"Ammoniak (NH3)";"2002";"     5.0"
"Wegverkeer; personenauto's";"Ammoniak (NH3)";"2003";"     5.1"
"Wegverkeer; personenauto's";"Ammoniak (NH3)";"2004";"     5.3"
"Wegverkeer; personenauto's";"Ammoniak (NH3)";"2005";"     4.8"
"Wegverkeer; personenauto's";"Ammoniak (NH3)";"2006";"     4.5"
"Wegverkeer; personenauto's";"Ammoniak (NH3)";"2007";"     4.2"
"Wegverkeer; personenauto's";"Ammoniak (NH3)";"2008";"     3.8"
"Wegverkeer; personenauto's";"Ammoniak (NH3)";"2009";"     3.6"
"Wegverkeer; personenauto's";"Ammoniak (NH3)";"2010";"     3.5"
"Wegverkeer; personenauto's";"Ammoniak (NH3)";"2011";"     3.4"
"Wegverkeer; personenauto's";"Ammoniak (NH3)";"2012";"     3.3"
"Wegverkeer; personenauto's";"Ammoniak (NH3)";"2013";"     3.2"
"Wegverkeer; personenauto's";"Ammoniak (NH3)";"2014";"     3.2"
"Wegverkeer; personenauto's";"Ammoniak (NH3)";"2015";"     3.1"
"Wegverkeer; personenauto's";"Ammoniak (NH3)";"2016";"     3.2"
"Wegverkeer; personenauto's";"Ammoniak (NH3)";"2017";"     3.2"
"Wegverkeer; personenauto's";"Ammoniak (NH3)";"2018";"     3.2"
"Wegverkeer; personenauto's";"Ammoniak (NH3)";"2019";"     3.1"
"Wegverkeer; personenauto's";"Ammoniak (NH3)";"2020";"     2.7"
"Wegverkeer; personenauto's";"Ammoniak (NH3)";"2021";"     2.8"
"Wegverkeer; personenauto's";"Ammoniak (NH3)";"2022";"     2.8"
"Wegverkeer; personenauto's";"Ammoniak (NH3)";"2023*";"     2.9"
"Wegverkeer; personenauto's";"Stikstofoxiden (NOx)";"1990";"   142.7"
"Wegverkeer; personenauto's";"Stikstofoxiden (NOx)";"1995";"    91.2"
"Wegverkeer; personenauto's";"Stikstofoxiden (NOx)";"2000";"    63.0"
"Wegverkeer; personenauto's";"Stikstofoxiden (NOx)";"2001";"    57.5"
"Wegverkeer; personenauto's";"Stikstofoxiden (NOx)";"2002";"    53.1"
"Wegverkeer; personenauto's";"Stikstofoxiden (NOx)";"2003";"    49.5"
"Wegverkeer; personenauto's";"Stikstofoxiden (NOx)";"2004";"    46.9"
"Wegverkeer; personenauto's";"Stikstofoxiden (NOx)";"2005";"    42.7"
"Wegverkeer; personenauto's";"Stikstofoxiden (NOx)";"2006";"    39.8"
"Wegverkeer; personenauto's";"Stikstofoxiden (NOx)";"2007";"    36.9"
"Wegverkeer; personenauto's";"Stikstofoxiden (NOx)";"2008";"    33.1"
"Wegverkeer; personenauto's";"Stikstofoxiden (NOx)";"2009";"    29.3"
"Wegverkeer; personenauto's";"Stikstofoxiden (NOx)";"2010";"    28.8"
"Wegverkeer; personenauto's";"Stikstofoxiden (NOx)";"2011";"    28.5"
"Wegverkeer; personenauto's";"Stikstofoxiden (NOx)";"2012";"    28.5"
"Wegverkeer; personenauto's";"Stikstofoxiden (NOx)";"2013";"    28.4"
"Wegverkeer; personenauto's";"Stikstofoxiden (NOx)";"2014";"    28.3"
"Wegverkeer; personenauto's";"Stikstofoxiden (NOx)";"2015";"    28.0"
"Wegverkeer; personenauto's";"Stikstofoxiden (NOx)";"2016";"    28.4"
"Wegverkeer; personenauto's";"Stikstofoxiden (NOx)";"2017";"    28.3"
"Wegverkeer; personenauto's";"Stikstofoxiden (NOx)";"2018";"    28.6"
"Wegverkeer; personenauto's";"Stikstofoxiden (NOx)";"2019";"    26.5"
"Wegverkeer; personenauto's";"Stikstofoxiden (NOx)";"2020";"    19.4"
"Wegverkeer; personenauto's";"Stikstofoxiden (NOx)";"2021";"    19.0"
"Wegverkeer; personenauto's";"Stikstofoxiden (NOx)";"2022";"    18.9"
"Wegverkeer; personenauto's";"Stikstofoxiden (NOx)";"2023*";"    17.9"
"Wegverkeer; personenauto's";"Zwaveldioxide (SO2)";"1990";"     4.6"
"Wegverkeer; personenauto's";"Zwaveldioxide (SO2)";"1995";"     3.6"
"Wegverkeer; personenauto's";"Zwaveldioxide (SO2)";"2000";"     1.3"
"Wegverkeer; personenauto's";"Zwaveldioxide (SO2)";"2001";"     0.5"
"Wegverkeer; personenauto's";"Zwaveldioxide (SO2)";"2002";"     0.5"
"Wegverkeer; personenauto's";"Zwaveldioxide (SO2)";"2003";"     0.3"
"Wegverkeer; personenauto's";"Zwaveldioxide (SO2)";"2004";"     0.3"
"Wegverkeer; personenauto's";"Zwaveldioxide (SO2)";"2005";"     0.2"
"Wegverkeer; personenauto's";"Zwaveldioxide (SO2)";"2006";"     0.2"
"Wegverkeer; personenauto's";"Zwaveldioxide (SO2)";"2007";"     0.2"
"Wegverkeer; personenauto's";"Zwaveldioxide (SO2)";"2008";"     0.1"
"Wegverkeer; personenauto's";"Zwaveldioxide (SO2)";"2009";"     0.1"
"Wegverkeer; personenauto's";"Zwaveldioxide (SO2)";"2010";"     0.1"
"Wegverkeer; personenauto's";"Zwaveldioxide (SO2)";"2011";"     0.1"
"Wegverkeer; personenauto's";"Zwaveldioxide (SO2)";"2012";"     0.1"
"Wegverkeer; personenauto's";"Zwaveldioxide (SO2)";"2013";"     0.1"
"Wegverkeer; personenauto's";"Zwaveldioxide (SO2)";"2014";"     0.1"
"Wegverkeer; personenauto's";"Zwaveldioxide (SO2)";"2015";"     0.1"
"Wegverkeer; personenauto's";"Zwaveldioxide (SO2)";"2016";"     0.1"
"Wegverkeer; personenauto's";"Zwaveldioxide (SO2)";"2017";"     0.1"
"Wegverkeer; personenauto's";"Zwaveldioxide (SO2)";"2018";"     0.1"
"Wegverkeer; personenauto's";"Zwaveldioxide (SO2)";"2019";"     0.1"
"Wegverkeer; personenauto's";"Zwaveldioxide (SO2)";"2020";"     0.1"
"Wegverkeer; personenauto's";"Zwaveldioxide (SO2)";"2021";"     0.1"
"Wegverkeer; personenauto's";"Zwaveldioxide (SO2)";"2022";"     0.1"
"Wegverkeer; personenauto's";"Zwaveldioxide (SO2)";"2023*";"     0.1"
"Wegverkeer; personenauto's";"NMVOS";"1990";"   134.7"
"Wegverkeer; personenauto's";"NMVOS";"1995";"    75.1"
"Wegverkeer; personenauto's";"NMVOS";"2000";"    38.3"
"Wegverkeer; personenauto's";"NMVOS";"2001";"    33.3"
"Wegverkeer; personenauto's";"NMVOS";"2002";"    29.2"
"Wegverkeer; personenauto's";"NMVOS";"2003";"    26.1"
"Wegverkeer; personenauto's";"NMVOS";"2004";"    23.8"
"Wegverkeer; personenauto's";"NMVOS";"2005";"    20.4"
"Wegverkeer; personenauto's";"NMVOS";"2006";"    17.8"
"Wegverkeer; personenauto's";"NMVOS";"2007";"    15.6"
"Wegverkeer; personenauto's";"NMVOS";"2008";"    13.1"
"Wegverkeer; personenauto's";"NMVOS";"2009";"    11.0"
"Wegverkeer; personenauto's";"NMVOS";"2010";"    11.2"
"Wegverkeer; personenauto's";"NMVOS";"2011";"    11.6"
"Wegverkeer; personenauto's";"NMVOS";"2012";"    11.6"
"Wegverkeer; personenauto's";"NMVOS";"2013";"    11.7"
"Wegverkeer; personenauto's";"NMVOS";"2014";"    11.8"
"Wegverkeer; personenauto's";"NMVOS";"2015";"    11.9"
"Wegverkeer; personenauto's";"NMVOS";"2016";"    12.2"
"Wegverkeer; personenauto's";"NMVOS";"2017";"    12.3"
"Wegverkeer; personenauto's";"NMVOS";"2018";"    12.5"
"Wegverkeer; personenauto's";"NMVOS";"2019";"    12.2"
"Wegverkeer; personenauto's";"NMVOS";"2020";"    10.4"
"Wegverkeer; personenauto's";"NMVOS";"2021";"    10.8"
"Wegverkeer; personenauto's";"NMVOS";"2022";"    10.9"
"Wegverkeer; personenauto's";"NMVOS";"2023*";"    11.0"
"Wegverkeer; personenauto's";"PM10 (fijn stof)";"1990";"     6.9"
"Wegverkeer; personenauto's";"PM10 (fijn stof)";"1995";"     5.0"
"Wegverkeer; personenauto's";"PM10 (fijn stof)";"2000";"     4.4"
"Wegverkeer; personenauto's";"PM10 (fijn stof)";"2001";"     4.2"
"Wegverkeer; personenauto's";"PM10 (fijn stof)";"2002";"     4.0"
"Wegverkeer; personenauto's";"PM10 (fijn stof)";"2003";"     3.9"
"Wegverkeer; personenauto's";"PM10 (fijn stof)";"2004";"     3.8"
"Wegverkeer; personenauto's";"PM10 (fijn stof)";"2005";"     3.6"
"Wegverkeer; personenauto's";"PM10 (fijn stof)";"2006";"     3.5"
"Wegverkeer; personenauto's";"PM10 (fijn stof)";"2007";"     3.3"
"Wegverkeer; personenauto's";"PM10 (fijn stof)";"2008";"     3.0"
"Wegverkeer; personenauto's";"PM10 (fijn stof)";"2009";"     2.8"
"Wegverkeer; personenauto's";"PM10 (fijn stof)";"2010";"     2.6"
"Wegverkeer; personenauto's";"PM10 (fijn stof)";"2011";"     2.5"
"Wegverkeer; personenauto's";"PM10 (fijn stof)";"2012";"     2.4"
"Wegverkeer; personenauto's";"PM10 (fijn stof)";"2013";"     2.3"
"Wegverkeer; personenauto's";"PM10 (fijn stof)";"2014";"     2.2"
"Wegverkeer; personenauto's";"PM10 (fijn stof)";"2015";"     2.2"
"Wegverkeer; personenauto's";"PM10 (fijn stof)";"2016";"     2.2"
"Wegverkeer; personenauto's";"PM10 (fijn stof)";"2017";"     2.2"
"Wegverkeer; personenauto's";"PM10 (fijn stof)";"2018";"     2.2"
"Wegverkeer; personenauto's";"PM10 (fijn stof)";"2019";"     2.2"
"Wegverkeer; personenauto's";"PM10 (fijn stof)";"2020";"     1.8"
"Wegverkeer; personenauto's";"PM10 (fijn stof)";"2021";"     1.9"
"Wegverkeer; personenauto's";"PM10 (fijn stof)";"2022";"     2.0"
"Wegverkeer; personenauto's";"PM10 (fijn stof)";"2023*";"     2.1"
"Wegverkeer; personenauto's";"PM2.5 (fijn stof)";"1990";"     5.7"
"Wegverkeer; personenauto's";"PM2.5 (fijn stof)";"1995";"     3.8"
"Wegverkeer; personenauto's";"PM2.5 (fijn stof)";"2000";"     3.1"
"Wegverkeer; personenauto's";"PM2.5 (fijn stof)";"2001";"     2.9"
"Wegverkeer; personenauto's";"PM2.5 (fijn stof)";"2002";"     2.7"
"Wegverkeer; personenauto's";"PM2.5 (fijn stof)";"2003";"     2.6"
"Wegverkeer; personenauto's";"PM2.5 (fijn stof)";"2004";"     2.5"
"Wegverkeer; personenauto's";"PM2.5 (fijn stof)";"2005";"     2.3"
"Wegverkeer; personenauto's";"PM2.5 (fijn stof)";"2006";"     2.1"
"Wegverkeer; personenauto's";"PM2.5 (fijn stof)";"2007";"     1.9"
"Wegverkeer; personenauto's";"PM2.5 (fijn stof)";"2008";"     1.7"
"Wegverkeer; personenauto's";"PM2.5 (fijn stof)";"2009";"     1.4"
"Wegverkeer; personenauto's";"PM2.5 (fijn stof)";"2010";"     1.2"
"Wegverkeer; personenauto's";"PM2.5 (fijn stof)";"2011";"     1.1"
"Wegverkeer; personenauto's";"PM2.5 (fijn stof)";"2012";"     1.0"
"Wegverkeer; personenauto's";"PM2.5 (fijn stof)";"2013";"     0.9"
"Wegverkeer; personenauto's";"PM2.5 (fijn stof)";"2014";"     0.9"
"Wegverkeer; personenauto's";"PM2.5 (fijn stof)";"2015";"     0.8"
"Wegverkeer; personenauto's";"PM2.5 (fijn stof)";"2016";"     0.8"
"Wegverkeer; personenauto's";"PM2.5 (fijn stof)";"2017";"     0.8"
"Wegverkeer; personenauto's";"PM2.5 (fijn stof)";"2018";"     0.7"
"Wegverkeer; personenauto's";"PM2.5 (fijn stof)";"2019";"     0.7"
"Wegverkeer; personenauto's";"PM2.5 (fijn stof)";"2020";"     0.5"
"Wegverkeer; personenauto's";"PM2.5 (fijn stof)";"2021";"     0.5"
"Wegverkeer; personenauto's";"PM2.5 (fijn stof)";"2022";"     0.5"
"Wegverkeer; personenauto's";"PM2.5 (fijn stof)";"2023*";"     0.5"
"Wegverkeer; personenauto's";"Koolmonoxide (CO)";"1990";"   592.8"
"Wegverkeer; personenauto's";"Koolmonoxide (CO)";"1995";"   379.5"
"Wegverkeer; personenauto's";"Koolmonoxide (CO)";"2000";"   303.4"
"Wegverkeer; personenauto's";"Koolmonoxide (CO)";"2001";"   304.6"
"Wegverkeer; personenauto's";"Koolmonoxide (CO)";"2002";"   309.7"
"Wegverkeer; personenauto's";"Koolmonoxide (CO)";"2003";"   313.1"
"Wegverkeer; personenauto's";"Koolmonoxide (CO)";"2004";"   314.9"
"Wegverkeer; personenauto's";"Koolmonoxide (CO)";"2005";"   292.1"
"Wegverkeer; personenauto's";"Koolmonoxide (CO)";"2006";"   276.5"
"Wegverkeer; personenauto's";"Koolmonoxide (CO)";"2007";"   264.6"
"Wegverkeer; personenauto's";"Koolmonoxide (CO)";"2008";"   246.2"
"Wegverkeer; personenauto's";"Koolmonoxide (CO)";"2009";"   234.0"
"Wegverkeer; personenauto's";"Koolmonoxide (CO)";"2010";"   223.2"
"Wegverkeer; personenauto's";"Koolmonoxide (CO)";"2011";"   210.1"
"Wegverkeer; personenauto's";"Koolmonoxide (CO)";"2012";"   199.0"
